iter	Passed	Remaining
877	10193	1416
878	10205	1404
879	10217	1393
880	10228	1381
881	10239	1369
882	10250	1358
883	10262	1346
884	10274	1335
885	10285	1323
886	10302	1312
887	10315	1301
888	10342	1291
889	10356	1279
890	10368	1268
891	10381	1256
892	10397	1245
893	10411	1234
894	10425	1223
895	10438	1211
896	10451	1200
897	10466	1188
898	10489	1178
899	10508	1167
900	10526	1156
901	10541	1145
902	10558	1134
903	10573	1122
904	10588	1111
905	10605	1100
906	10621	1089
907	10635	1077
908	10650	1066
909	10662	1054
910	10678	1043
911	10693	1031
912	10707	1020
913	10722	1008
914	10740	997
915	10754	986
916	10770	974
917	10789	963
918	10804	952
919	10818	940
920	10834	929
921	10850	917
922	10865	906
923	10881	895
924	10899	883
925	10914	872
926	10929	860
927	10943	849
928	10960	837
929	10979	826
930	10995	814
931	11014	803
932	11028	791
933	11043	780
934	11058	768
935	11075	757
936	11088	745
937	11102	733
938	11116	722
939	11132	710
940	11145	698
941	11164	687
942	11179	675
943	11191	663
944	11206	652
945	11224	640
946	11242	629
947	11260	617
948	11275	605
949	11291	594
950	11304	582
951	11317	570
952	11329	558
953	11339	546
954	11351	534
955	11364	523
956	11378	511
957	11390	499
958	11403	487
959	11414	475
960	11425	463
961	11436	451
962	11447	439
963	11460	427
964	11473	416
965	11487	404
966	11499	392
967	11511	380
968	11523	368
969	11535	356
970	11547	344
971	11561	333
972	11574	321
973	11592	309
974	11606	297
975	11625	285
976	11642	274
977	11661	262
978	11674	250
979	11686	238
980	11699	226
981	11711	214
982	11723	202
983	11735	190
984	11747	178
985	11760	166
986	11773	155
987	11786	143
988	11798	131
989	11810	119
990	11821	107
991	11832	95
992	11843	83
993	11856	71
994	11868	59
995	11881	47
996	11893	35
997	11903	23
998	11918	11
999	11931	0
